ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
T,4.827141165755933,-0.005764411027564531,-83840.40544078627,1,AT&T Inc.,22.995,0.105,0.00459,10625636,164250818579,49609796,22.89
DCFC,-22.95625,0.22500000000000853,-10302.777777777392,2,Tritium DCFC Limited,7.26,0.35,0.05065,109571,1141010851,348365,6.91
OCUP,-62.5,0,-6350,3,"Ocuphire Pharma, Inc.",3.28,0.02,0.00613,7711,56745578,103591,3.26
TS,-16.400000000000002,0.39772727272726627,-4223.428571428639,4,Tenaris S.A.,26.31,-1.2,-0.04362,1270203,15529961999,3438703,27.51
IMRN,-29.200000000000003,0,-3020.0000000000005,5,Immuron Limited,2.79,-0.09000015,-0.031250052,292,16401482,4839,2.88
FRTA,-19.999999999999996,0,-2099.9999999999995,6,"Forterra, Inc.",23.63,0.08,0.0034,14893,1593835820,143208,23.55
SNAX,24.577719298245615,-1.2380952380952381,-2085.1234817813765,7,"Stryve Foods, Inc.",2.35,-0.135,-0.05433,40730,20233512,941352,2.485
AAT,27.916666666666657,-1.6666666666666607,-1775.0000000000052,8,"American Assets Trust, Inc.",36.33,0.2,0.00554,29995,2198830780,214635,36.13
XSPA,6.222521786492363,-0.3879629629629733,-1703.89583040849,9,"XpresSpa Group, Inc.",1.06,0.0758,0.07702,853753,112002166,1317526,0.9842
STM,7.03125,-0.5208333333333259,-1450.000000000019,10,STMicroelectronics N.V.,38.325,0.705,0.01874,1301337,34897204527,4743215,37.62
ACY,31.266666666666666,-2.5944444444444326,-1305.1391862955088,11,AeroCentury Corp.,2.92,0.08,0.02817,143419,12897088,411543,2.84
INO,18.642296688222615,-1.6873280423280512,-1204.841276892509,12,"Inovio Pharmaceuticals, Inc.",3.135,0.115,0.03808,1619244,659559724,6235107,3.02
SMSI,10.048333333333348,-0.9916666666666685,-1113.2773109243694,13,"Smith Micro Software, Inc.",2.96,-0.06,-0.01987,276786,160807346,931460,3.02
ASTI,-7.166666666666666,0,-816.6666666666666,14,"Ascent Solar Technologies, Inc.",8.25,0,0,2147,252341133,10843,8.25
GIII,19.266666666666676,-2.857142857142858,-774.3333333333334,15,"G-III Apparel Group, Ltd.",24.28,0.34,0.0142,92804,1179242524,369204,23.94
ABUS,11.283207070707068,-1.8702836879432638,-703.2885355010031,16,Arbutus Biopharma Corporation,2.81,0,0,502285,417683278,1712481,2.81
