ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
RIG,-5.5759273504273565,0.13515151515151036,-4225.686156145948,1,Transocean Ltd.,3.87,-0.27,-0.06522,16664808,2540180952,29358827,4.14
WOLF,-40,0,-4100,2,"Wolfspeed, Inc.",89.23,2.77,0.03204,572872,11026604835,1617701,86.46
GOOS,-40,0,-4100,3,Canada Goose Holdings Inc.,21.61,0.31,0.01455,310144,1171055236,1244912,21.3
BYSI,-26.66666666666666,0,-2766.666666666666,4,BeyondSpring Inc.,1.69,0.01,0.00595,95170,66089944,392404,1.68
WES,-19.999999999999996,0,-2099.9999999999995,5,"Western Midstream Partners, LP",22.74,-0.44,-0.01898,355759,9176646932,2402425,23.18
MU,8.157074829931975,-0.4166666666666652,-2057.697959183681,6,"Micron Technology, Inc.",71.625,2.225,0.03206,8087844,80204035504,24893444,69.4
LTBR,-33.333333333333336,2.9333333333333433,-1236.3636363636326,7,Lightbridge Corporation,8.46,-0.57,-0.06312,171802,64537465,319052,9.03
BENE,-11.149999999999993,0,-1214.9999999999993,8,Benessere Capital Acquisition Corp.,10.225,0.00500011,0.000489248,11117,121554125,106230,10.22
MBRX,-9.999999999999998,0,-1099.9999999999998,9,"Moleculin Biotech, Inc.",1.23,0,0,31315,35149818,85639,1.23
POW.TO,-9.999999999999998,0,-1099.9999999999998,10,Power Corporation of Canada,38.69,-0.43,-0.01099,449475,24053552920,2172561,39.12
MQ,4.752647476901228,-0.6285714285714339,-856.1030076888254,11,"Marqeta, Inc.",8.545,0.025,0.00293,4632826,3638344754,13809925,8.52
CRDF,-7.329861111111102,0,-832.9861111111102,12,"Cardiff Oncology, Inc.",2.245,0.135,0.06398,246829,97222107,474197,2.11
WAVE,32.23809523809524,-4.6628787878788,-791.377509574096,13,Eco Wave Power Global AB - ADR,4.88,-0.13000011,-0.025948126000000002,22243,27802274,194424,5.01
CMG,16.29733333333334,-2.4088235294117744,-776.5681725681702,14,"Chipotle Mexican Grill, Inc.",1520.19,48.22,0.03276,65044,42613887030,357512,1471.97
CHEK,-6.577777777777783,0,-757.7777777777783,15,Check-Cap Ltd.,0.3665,-0.0035,-0.00946,321759,35332414,1067762,0.37
USO,3.359326705429644,-0.5731141774891868,-686.1531327224976,16,"United States Oil Fund, LP",68.17,-4.67,-0.06411,6245842,3239684017,9469996,72.84
